"round(latitude,2)","round(longitude,2)"
41.95,-87.80
41.92,-87.63
41.69,-87.68
41.72,-87.67
41.73,-87.68
41.73,-87.65
41.98,-87.81
41.94,-87.83
42.01,-87.81
41.99,-87.69
41.80,-87.76
41.66,-87.72
41.93,-87.70
41.92,-87.80
41.92,-87.75
41.73,-87.61
41.95,-87.73
41.96,-87.76
41.99,-87.80
42.01,-87.78
41.99,-87.75
41.87,-87.70
41.92,-87.79
41.94,-87.78
41.70,-87.70
41.84,-87.73
41.91,-87.73
41.80,-87.68
41.78,-87.75
41.77,-87.70
41.80,-87.80
41.77,-87.60
41.80,-87.64
41.80,-87.74
41.67,-87.60
41.69,-87.53
41.73,-87.58
41.75,-87.61
41.98,-87.73
41.77,-87.74
41.99,-87.86
41.97,-87.89
41.96,-87.93
41.97,-87.81
41.74,-87.73
41.90,-87.76
41.99,-87.67
41.97,-87.78
41.78,-87.63
41.93,-87.63
41.97,-87.82
41.95,-87.78
41.68,-87.71
41.72,-87.65
41.94,-87.79
41.90,-87.69
41.88,-87.71
41.76,-87.75
41.77,-87.56
41.82,-87.63
41.73,-87.59
41.68,-87.54
41.70,-87.54
41.66,-87.54
41.74,-87.57
41.95,-87.74
41.73,-87.60
41.99,-87.77
41.92,-87.67
41.89,-87.65
41.87,-87.65
41.90,-87.66
41.92,-87.69
41.86,-87.65
41.89,-87.61
42.00,-87.80
42.02,-87.69
41.91,-87.76
41.95,-87.70
41.98,-87.75
41.91,-87.70
41.87,-87.67
41.87,-87.63
41.88,-87.63
41.96,-87.70
42.01,-87.68
41.85,-87.72
41.96,-87.69
41.84,-87.69
41.86,-87.69
41.85,-87.66
41.72,-87.68
41.97,-87.67
41.97,-87.79
42.01,-87.66
41.90,-87.72
41.69,-87.60
41.96,-87.78
41.96,-87.75
41.84,-87.68
41.82,-87.68
41.80,-87.71
41.77,-87.68
41.78,-87.78
41.82,-87.67
41.80,-87.59
41.79,-87.62
41.78,-87.59
41.75,-87.59
41.83,-87.73
41.68,-87.56
41.74,-87.54
41.74,-87.55
41.70,-87.57
41.75,-87.70
41.78,-87.66
41.64,-87.60
41.73,-87.56
41.72,-87.53
41.83,-87.67
41.69,-87.66
41.87,-87.66
41.68,-87.65
41.73,-87.55
41.65,-87.54
41.93,-87.74
41.93,-87.75
41.95,-87.67
41.79,-87.65
41.75,-87.64
41.76,-87.74
41.91,-87.67
41.95,-87.79
41.94,-87.76
41.74,-87.70
41.75,-87.71
